Pin Designator,Net Name
1,VUNSEL_WL
2,V5V
3,VSS
4,VSS
5,VDD
6,VSS
7,input_data[14]
8,input_data[15]
9,input_data[12]
10,input_data[13]
11,input_data[10]
12,input_data[11]
13,input_data[8]
14,input_data[9]
15,VSS
16,input_data[7]
17,input_data[5]
18,input_data[6]
19,input_data[3]
20,input_data[4]
21,input_data[1]
22,input_data[2]
23,VSS
24,input_data[0]
25,output_data[15]
26,VSS
27,output_data[13]
28,output_data[14]
29,output_data[11]
30,output_data[12]
31,output_data[9]
32,output_data[10]
