Pin Designator,Net Name
1,ap_done[2]
2,VSS
3,ap_done[1]
4,VSS
5,ap_done[0]
6,VSS
7,ap_idle
8,VSS
9,ap_ready
10,VSS
11,o_start_w[9]
12,VSS
13,o_start_w[8]
14,VSS
15,o_start_w[7]
16,VSS
17,o_start_w[6]
18,VSS
19,o_start_w[5]
20,VSS
21,o_start_w[4]
22,VSS
23,o_start_w[3]
24,VSS
25,o_start_w[2]
26,VSS
27,o_start_w[1]
28,VSS
29,o_start_w[0]
30,RESERVED
31,o_mvp_start_w
32,VSS
33,RESERVED
34,VSS
35,ap_done[3]
36,VSS
37,ap_done[4]
38,VSS
39,ap_done[5]
40,VSS
41,ap_done[6]
42,VSS
43,ap_done[7]
44,VSS
45,ap_done[8]
46,VSS
47,ap_done[9]
48,VSS
49,ap_done[10]
50,VSS
51,ap_done[11]
52,VSS
53,ap_done[12]
54,VSS
55,ap_done[13]
56,VSS
57,ap_done[14]
58,VSS
59,ap_done[15]
60,RESERVED
61,ap_start
62,VSS
63,mem_init_stage_done
64,VSS
65,mem_init_all_done
66,VSS
67,RESERVED
68,VSS
