Pin Designator,Net Name
1,bank1_addr[5]
2,VSS
3,bank1_addr[4]
4,VSS
5,bank1_addr[3]
6,VSS
7,bank1_addr[2]
8,VSS
9,bank1_addr[1]
10,VSS
11,bank1_addr[0]
12,VSS
13,input_data[15]
14,VSS
15,input_data[14]
16,VSS
17,input_data[13]
18,VSS
19,input_data[12]
20,VSS
21,input_data[11]
22,VSS
23,input_data[10]
24,VSS
25,input_data[9]
26,VSS
27,input_data[8]
28,VSS
29,input_data[7]
30,RESERVED
31,input_data[6]
32,VSS
33,RESERVED
34,VSS
35,bank1_addr[6]
36,VSS
37,bank1_addr[7]
38,VSS
39,bank1_addr[8]
40,VSS
41,bank1_addr[9]
42,VSS
43,bank1_addr[10]
44,VSS
45,bank1_addr[11]
46,VSS
47,
48,VSS
49,
50,VSS
51,
52,VSS
53,
54,VSS
55,input_data[0]
56,VSS
57,input_data[1]
58,VSS
59,input_data[2]
60,RESERVED
61,input_data[3]
62,VSS
63,input_data[4]
64,VSS
65,input_data[5]
66,VSS
67,RESERVED
68,VSS
