Pin Designator,Net Name
1,output_data[8]
2,VSS
3,output_data[7]
4,VSS
5,output_data[6]
6,VSS
7,output_data[5]
8,VSS
9,output_data[4]
10,VSS
11,output_data[3]
12,VSS
13,output_data[2]
14,VSS
15,output_data[1]
16,VSS
17,output_data[0]
18,VSS
19,read_data_valid
20,VSS
21,bank1_init_en
22,VSS
23,bank1_init_pad_in[3]
24,VSS
25,bank1_init_pad_in[2]
26,VSS
27,bank1_init_pad_in[1]
28,VSS
29,bank1_init_pad_in[0]
30,RESERVED
31,bank1_init_done
32,VSS
33,RESERVED
34,VSS
35,output_data[9]
36,VSS
37,output_data[10]
38,VSS
39,output_data[11]
40,VSS
41,output_data[12]
42,VSS
43,output_data[13]
44,VSS
45,output_data[14]
46,VSS
47,output_data[15]
48,VSS
49,
50,VSS
51,
52,VSS
53,REP_SEL[0]
54,VSS
55,REP_SEL[1]
56,VSS
57,REP_SEL[2]
58,VSS
59,REP_SEL[3]
60,RESERVED
61,REP_SEL[4]
62,VSS
63,REP_SEL[5]
64,VSS
65,bank1_write_done_all
66,VSS
67,RESERVED
68,VSS
