,,,,,,,
,All Input Sources,,,,,,
,Source,DIO,VHDCI,DIO Input Net (VHDCI Nets),To,,Notes
,,,PIN,,Component,Pin,
,,10,55,,Socket,,
,,11,21,,Socket,,
,,12,53,,Socket,,
,,13,19,,Socket,,
,,14,51,,Socket,,
,,15,17,,Socket,,
,,16,49,,Socket,,
,,17,15,,Socket,,
,,18,47,,Socket,,
,,19,13,,Socket,,
,,20,45,,Socket,,
,,21,11,,Socket,,
,,22,43,,Socket,,
,,23,9,,Socket,,
,,24,41,,Socket,,
,,25,7,,Socket,,
,,26,39,,Socket,,
,,27,5,,Socket,,
,,28,37,,Socket,,
,,29,3,,Socket,,
,,30,35,,Socket,,
,,31,1,,Socket,,
,,VSS,,VSS,Socket,,
,,,,,,,
,VHDCI 6 PXIe 6570 D0,0,65,,Socket,,
,,1,31,,Socket,,
,,2,63,,Socket,,
,,3,29,,Socket,,
,,4,61,,Socket,,
,,5,27,,Socket,,
,,6,59,,Socket,,
,,7,25,,Socket,,
,,8,57,,Socket,,
,,9,23,,Socket,,
,,10,55,,Socket,,
,,11,21,,Socket,,
,,12,53,,Socket,,
,,13,19,,Socket,,
,,14,51,,Socket,,
,,15,17,,Socket,,
,,16,49,,Socket,,
,,17,15,,Socket,,
,,18,47,,Socket,,
,,19,13,,Socket,,
,,20,45,,Socket,,
,,21,11,,Socket,,
,,22,43,,Socket,,
,,23,9,,Socket,,
,,24,41,,Socket,,
,,25,7,,Socket,,
,,26,39,,Socket,,
,,27,5,,Socket,,
,,28,37,,Socket,,
,,29,3,,Socket,,
,,30,35,,Socket,,
,,31,1,,Socket,,
,,VSS,,VSS,Socket,,
,,,,,,,
,,,,,,,
,Power Pins,,,VDD,1,,1.8 V
,,,,VSS,2,,0 V
,,,,V5V,3,,5 V
,"Analog Voltages
(from PXIe)",,,VSEL_SL_1,,,
,,,,VSEL_SL_0,,,
,,,,VSEL_BL_1,,,
,,,,VSEL_BL_0,,,
,,,,VREAD,,,
,,,,VSEL_WL,,,
,,,,VUNSEL_WL,,,
